"id","name","rmeffect","outcome","nobs","beta","se","subject","estimation","country","edulevel","identification","yearfirst","yearlast","coefspecification","mostcontrolled","heterogeneous","hettype","appendix","modeltable","fixedeffects","controls","splitsample","effectivepair","continent","elementary"
"550","Ammermüller",1,"Test score",1879,0.0526879642506614,0.203792780124188,"Math","OLS","England","Grade 4","Observational/Natural Experiment","2003","2003","GxF + BxM",0,0,"gender",0,"","school FE","no covariates","No",1,"Europe",1
"550","Ammermüller",1,"Test score",1879,0.0620474674702154,0.163840200698263,"Math","OLS","England","Grade 4","Observational/Natural Experiment","2003","2003","GxF + BxM",0,0,"gender",0,"","school FE","student characteristics","No",2,"Europe",1
"550","Ammermüller",1,"Test score",1879,0.0932654889043542,0.166562128914991,"Math","OLS","England","Grade 4","Observational/Natural Experiment","2003","2003","GxF + BxM",1,0,"gender",0,"","school FE","student and teacher characteristics","No",3,"Europe",1
"550","Ammermüller",1,"Test score",2534,-0.0577771839078355,0.192468580572091,"Reading","OLS","England","Grade 4","Observational/Natural Experiment","2001","2001","GxF + BxM",0,0,"gender",0,"","school FE","no covariates","No",4,"Europe",1
"550","Ammermüller",1,"Test score",2534,-0.0337585884743599,0.154969723380382,"Reading","OLS","England","Grade 4","Observational/Natural Experiment","2001","2001","GxF + BxM",0,0,"gender",0,"","school FE","student characteristics","No",5,"Europe",1
"550","Ammermüller",1,"Test score",2534,-0.0192503031103651,0.1614563401809,"Reading","OLS","England","Grade 4","Observational/Natural Experiment","2001","2001","GxF + BxM",1,0,"gender",0,"","school FE","student and teacher characteristics","No",6,"Europe",1
"550","Ammermüller",1,"Test score",1888,-0.100206429191079,0.186231460742121,"Science","OLS","England","Grade 4","Observational/Natural Experiment","2003","2003","GxF + BxM",0,0,"gender",0,"","school FE","no covariates","No",7,"Europe",1
"550","Ammermüller",1,"Test score",1888,-0.0864770623225891,0.139126379949875,"Science","OLS","England","Grade 4","Observational/Natural Experiment","2003","2003","GxF + BxM",0,0,"gender",0,"","school FE","student characteristics","No",8,"Europe",1
"550","Ammermüller",1,"Test score",1888,-0.0930384238224779,0.153731892075404,"Science","OLS","England","Grade 4","Observational/Natural Experiment","2003","2003","GxF + BxM",1,0,"gender",0,"","school FE","student and teacher characteristics","No",9,"Europe",1
"550","Ammermüller",1,"Test score",1199,0.332026270852173,0.192603950089168,"Math","OLS","England","Grade 8","Observational/Natural Experiment","1995","1995","GxF + BxM",0,0,"gender",0,"","school FE","no covariates","No",10,"Europe",0
"550","Ammermüller",1,"Test score",1510,0.403593235072167,0.254269985300473,"Math","OLS","England","Grade 8","Observational/Natural Experiment","1999","1999","GxF + BxM",0,0,"gender",0,"","school FE","no covariates","No",11,"Europe",0
"550","Ammermüller",1,"Test score",1350,0.307287234042553,0.391031333626505,"Math","OLS","England","Grade 8","Observational/Natural Experiment","2003","2003","GxF + BxM",0,0,"gender",0,"","school FE","no covariates","No",12,"Europe",0
"550","Ammermüller",1,"Test score",1199,0.291216943905208,0.158547658206606,"Math","OLS","England","Grade 8","Observational/Natural Experiment","1995","1995","GxF + BxM",0,0,"gender",0,"","school FE","student characteristics","No",13,"Europe",0
"550","Ammermüller",1,"Test score",1510,0.322159484940824,0.207046002094676,"Math","OLS","England","Grade 8","Observational/Natural Experiment","1999","1999","GxF + BxM",0,0,"gender",0,"","school FE","student characteristics","No",14,"Europe",0
"550","Ammermüller",1,"Test score",1350,0.19550754232264,0.310685449432986,"Math","OLS","England","Grade 8","Observational/Natural Experiment","2003","2003","GxF + BxM",0,0,"gender",0,"","school FE","student characteristics","No",15,"Europe",0
"550","Ammermüller",1,"Test score",1199,0.326027850123721,0.164327644442704,"Math","OLS","England","Grade 8","Observational/Natural Experiment","1995","1995","GxF + BxM",1,0,"gender",0,"","school FE","student and teacher characteristics","No",16,"Europe",0
"550","Ammermüller",1,"Test score",1510,0.289698020448257,0.20127238773401,"Math","OLS","England","Grade 8","Observational/Natural Experiment","1999","1999","GxF + BxM",1,0,"gender",0,"","school FE","student and teacher characteristics","No",17,"Europe",0
"550","Ammermüller",1,"Test score",1350,0.145952341742968,0.330203174202802,"Math","OLS","England","Grade 8","Observational/Natural Experiment","2003","2003","GxF + BxM",1,0,"gender",0,"","school FE","student and teacher characteristics","No",18,"Europe",0
"550","Ammermüller",1,"Test score",1119,0.192253520683072,0.185660590952279,"Science","OLS","England","Grade 8","Observational/Natural Experiment","1995","1995","GxF + BxM",0,0,"gender",0,"","school FE","no covariates","No",19,"Europe",0
